yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.122297 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001120, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000328, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.520249, Class: 0.888668, Obj: 0.001119, No Obj: 0.000290, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.537665, Class: 0.992712, Obj: 0.517085, No Obj: 0.003367, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.560262, Class: 0.996750, Obj: 0.025484, No Obj: 0.000428, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000269, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.605189, Class: 0.838586, Obj: 0.164113, No Obj: 0.003098, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.355681, Class: 0.928844, Obj: 0.054906, No Obj: 0.000666, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000171, .5R: -nan, .75R: -nan,  count: 0
607: 0.863615, 0.721333 avg, 0.013575 rate, 2.683423 seconds, 19424 images
Loaded: 0.000088 seconds
Region 82 Avg IOU: 0.609485, Class: 0.994129, Obj: 0.283133, No Obj: 0.000891, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000218, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.345380, Class: 0.964110, Obj: 0.009788, No Obj: 0.000268, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000113, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000207, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.464231, Class: 0.876325, Obj: 0.000894, No Obj: 0.000102, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000292, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.589125, Class: 0.916315, Obj: 0.026182, No Obj: 0.000371, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000156, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000366, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.490114, Class: 0.990937, Obj: 0.004140, No Obj: 0.000589, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.586874, Class: 0.897792, Obj: 0.000065, No Obj: 0.000195, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.523842, Class: 0.989082, Obj: 0.550187, No Obj: 0.002364, .5R: 0.500000, .75R: 0.000000,  count: 2
