yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.105496 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054215, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.017701, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006778, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.051177, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.204453, Class: 0.429387, Obj: 0.007080, No Obj: 0.018100, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.121533, Class: 0.614608, Obj: 0.001373, No Obj: 0.006719, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.050246, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.017555, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006642, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052360, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.068789, Class: 0.228180, Obj: 0.010747, No Obj: 0.018426, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.001136, Class: 0.066130, Obj: 0.000199, No Obj: 0.007226, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.530276, Class: 0.910436, Obj: 0.015891, No Obj: 0.050173, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.225339, Class: 0.626198, Obj: 0.012034, No Obj: 0.018110, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006760, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.291551, Class: 0.578457, Obj: 0.028315, No Obj: 0.049710, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.363630, Class: 0.644449, Obj: 0.019100, No Obj: 0.017384, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006736, .5R: -nan, .75R: -nan,  count: 0
